StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
Split Json,0.0069 Min,0.098072 MB,9.187291 MB,48.8%
0: Heading Extraction,1.3264 Min,1.96037 MB,4.397975 MB,49.5%
0: Document Annotation,0.0178 Min,0.1642 MB,0.198864 MB,49.4%
0: Content Extraction,0.0015 Min,0.815433 MB,4.067631 MB,49.4%
0: Generate XML,0.0078 Min,2.770249 MB,5.321186 MB,49.4%
0: Submit FHIR Msg,0.0484 Min,0.066144 MB,1.993625 MB,49.4%
0: Update/Add List Bundle,0.0465 Min,0.214995 MB,0.244187 MB,49.3%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1143 Min,6.10733 MB,10.716065 MB,49.6%
Split Json,0.0061 Min,0.239731 MB,9.188938 MB,49.6%
0: Heading Extraction,0.9403 Min,2.19168 MB,4.544342 MB,49.6%
0: Document Annotation,0.015 Min,0.1628 MB,0.197464 MB,49.6%
0: Content Extraction,0.0015 Min,0.821513 MB,4.069735 MB,49.6%
0: Generate XML,0.0085 Min,2.738923 MB,5.290212 MB,49.6%
0: Submit FHIR Msg,0.0475 Min,0.073134 MB,2.141513 MB,49.6%
0: Update/Add List Bundle,0.0408 Min,0.230159 MB,0.344435 MB,49.6%
1: Heading Extraction,0.3855 Min,0.509759 MB,3.055254 MB,49.5%
1: Document Annotation,0.0002 Min,0.009497 MB,0.157924 MB,49.5%
1: Content Extraction,0.0008 Min,0.309185 MB,0.623965 MB,49.5%
1: Generate XML,0.0023 Min,0.867729 MB,1.934101 MB,49.5%
1: Submit FHIR Msg,0.0314 Min,0.20036 MB,0.762976 MB,49.5%
1: Update/Add List Bundle,0.051 Min,0.240491 MB,0.358243 MB,49.5%
2: Heading Extraction,0.4355 Min,0.812768 MB,3.140609 MB,49.4%
2: Document Annotation,0.0002 Min,0.156628 MB,0.171235 MB,49.4%
2: Content Extraction,0.0035 Min,0.415485 MB,0.95911 MB,49.4%
2: Generate XML,0.0024 Min,0.989461 MB,1.940706 MB,49.4%
2: Submit FHIR Msg,0.0244 Min,0.062429 MB,0.225443 MB,49.5%
2: Update/Add List Bundle,0.0427 Min,0.331582 MB,0.477546 MB,49.5%
3: Heading Extraction,2.3118 Min,0.621165 MB,3.268037 MB,49.6%
3: Document Annotation,0.0002 Min,0.007227 MB,0.166138 MB,49.6%
3: Content Extraction,0.0015 Min,0.251544 MB,1.090713 MB,49.6%
3: Generate XML,0.0044 Min,1.56326 MB,2.916734 MB,49.6%
3: Submit FHIR Msg,0.0332 Min,0.198026 MB,1.019411 MB,49.6%
3: Update/Add List Bundle,0.0419 Min,0.228324 MB,0.313591 MB,49.6%
3: Completed,0.0 Min,0.003057 MB,0.151267 MB,49.6%
Final Metrics,4.5469 Min,0.0 MB,10.716065 MB,49.6%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1181 Min,5.404695 MB,10.011543 MB,49.5%
Split Json,0.0063 Min,0.107291 MB,9.335815 MB,49.5%
0: Heading Extraction,1.0103 Min,2.100558 MB,4.544644 MB,49.5%
0: Document Annotation,0.0145 Min,0.162144 MB,0.196752 MB,49.5%
0: Content Extraction,0.0012 Min,0.676326 MB,4.068799 MB,49.5%
0: Generate XML,0.0055 Min,2.862525 MB,5.413462 MB,49.5%
0: Submit FHIR Msg,0.0426 Min,0.060624 MB,2.128587 MB,49.5%
0: Update/Add List Bundle,0.0434 Min,0.075452 MB,0.253863 MB,49.5%
1: Heading Extraction,0.4439 Min,0.654326 MB,3.062161 MB,49.3%
1: Document Annotation,0.0002 Min,0.010429 MB,0.158057 MB,49.3%
1: Content Extraction,0.001 Min,0.157698 MB,0.621235 MB,49.3%
1: Generate XML,0.0028 Min,0.862131 MB,1.928503 MB,49.3%
1: Submit FHIR Msg,0.0344 Min,0.201938 MB,0.823227 MB,49.3%
1: Update/Add List Bundle,0.0402 Min,0.359212 MB,0.405411 MB,49.3%
2: Heading Extraction,0.4414 Min,0.622933 MB,3.164748 MB,49.3%
2: Document Annotation,0.0002 Min,0.158055 MB,0.161368 MB,49.3%
2: Content Extraction,0.0029 Min,0.164971 MB,0.960336 MB,49.3%
2: Generate XML,0.003 Min,0.976939 MB,1.928184 MB,49.3%
2: Submit FHIR Msg,0.0228 Min,0.058885 MB,0.221899 MB,49.3%
2: Update/Add List Bundle,0.0415 Min,0.419588 MB,0.542832 MB,49.3%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0657 Min,6.291195 MB,10.900987 MB,49.8%
Split Json,0.005 Min,0.116229 MB,9.333211 MB,49.8%
0: Heading Extraction,0.679 Min,2.142451 MB,4.548724 MB,49.7%
0: Document Annotation,0.0194 Min,0.178496 MB,0.22758 MB,49.8%
0: Content Extraction,0.001 Min,0.815473 MB,4.067967 MB,49.8%
0: Generate XML,0.0047 Min,2.788665 MB,5.33531 MB,49.8%
0: Submit FHIR Msg,0.0456 Min,0.22459 MB,2.147587 MB,49.7%
0: Update/Add List Bundle,0.0485 Min,0.244837 MB,0.642369 MB,49.7%
1: Heading Extraction,0.1869 Min,0.464839 MB,3.054803 MB,49.8%
1: Document Annotation,0.0001 Min,0.009817 MB,0.158172 MB,49.8%
1: Content Extraction,0.0006 Min,0.155937 MB,0.620573 MB,49.8%
1: Generate XML,0.0017 Min,0.862963 MB,1.929335 MB,49.8%
1: Submit FHIR Msg,0.0321 Min,0.212018 MB,0.921514 MB,49.8%
1: Update/Add List Bundle,0.0397 Min,0.095055 MB,0.912758 MB,49.9%
2: Heading Extraction,0.2766 Min,0.650403 MB,3.140901 MB,50.0%
2: Document Annotation,0.0001 Min,0.157084 MB,0.159237 MB,50.0%
2: Content Extraction,0.0022 Min,0.303291 MB,0.955924 MB,49.9%
2: Generate XML,0.0018 Min,0.988283 MB,1.93936 MB,49.9%
2: Submit FHIR Msg,0.0229 Min,0.204792 MB,0.221595 MB,50.0%
2: Update/Add List Bundle,0.0445 Min,0.072029 MB,0.24945 MB,50.0%
3: Heading Extraction,474.3403 Min,0.817318 MB,3.257949 MB,51.6%
3: Document Annotation,0.0002 Min,0.154987 MB,0.166922 MB,51.6%
3: Content Extraction,0.0018 Min,0.399063 MB,1.092016 MB,51.6%
3: Generate XML,0.0067 Min,1.558032 MB,2.911506 MB,51.6%
3: Submit FHIR Msg,0.056 Min,0.210162 MB,1.032651 MB,51.6%
3: Update/Add List Bundle,0.076 Min,0.264103 MB,0.344759 MB,51.9%
3: Completed,0.0 Min,0.150489 MB,0.152035 MB,51.9%
Final Metrics,475.9593 Min,0.0 MB,10.900987 MB,51.9%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0563 Min,5.620033 MB,10.374893 MB,44.6%
Split Json,0.0043 Min,0.397648 MB,9.448526 MB,44.6%
0: Heading Extraction,0.6388 Min,2.497822 MB,4.557546 MB,44.6%
0: Document Annotation,0.0182 Min,0.174199 MB,0.207434 MB,44.6%
0: Content Extraction,0.0011 Min,0.834321 MB,4.080254 MB,44.6%
0: Generate XML,0.0048 Min,2.882172 MB,5.433109 MB,44.6%
0: Submit FHIR Msg,0.0934 Min,0.204373 MB,2.130992 MB,44.6%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0538 Min,5.36076 MB,10.116442 MB,45.7%
Split Json,0.0046 Min,0.263966 MB,9.190304 MB,45.7%
0: Heading Extraction,0.6858 Min,2.188033 MB,4.544137 MB,45.7%
0: Document Annotation,0.0816 Min,0.350532 MB,0.559825 MB,45.7%
0: Content Extraction,0.0011 Min,0.680557 MB,4.073298 MB,45.7%
0: Generate XML,0.0041 Min,2.79095 MB,5.341719 MB,45.7%
0: Submit FHIR Msg,0.0455 Min,0.191886 MB,1.970416 MB,45.7%
0: Update/Add List Bundle,0.0258 Min,0.197561 MB,0.224899 MB,45.7%
1: Heading Extraction,0.1874 Min,0.411561 MB,3.059734 MB,45.8%
1: Document Annotation,0.0002 Min,0.010394 MB,0.167404 MB,45.7%
1: Content Extraction,0.0006 Min,0.157856 MB,0.622008 MB,45.7%
1: Generate XML,0.0018 Min,0.86153 MB,1.927902 MB,45.7%
1: Submit FHIR Msg,0.0306 Min,0.187226 MB,0.895418 MB,45.7%
1: Update/Add List Bundle,0.0361 Min,0.529501 MB,0.913458 MB,45.8%
2: Heading Extraction,0.276 Min,0.66761 MB,3.149595 MB,45.9%
2: Document Annotation,0.0002 Min,0.156676 MB,0.171627 MB,45.9%
2: Content Extraction,0.0024 Min,0.161384 MB,0.971966 MB,45.9%
2: Generate XML,0.0019 Min,0.988982 MB,1.940059 MB,45.9%
2: Submit FHIR Msg,0.1167 Min,0.286663 MB,0.300971 MB,45.8%
2: Update/Add List Bundle,0.04 Min,0.219115 MB,0.299858 MB,45.8%
3: Heading Extraction,1.5178 Min,0.523362 MB,3.261859 MB,45.7%
3: Document Annotation,0.0001 Min,0.009017 MB,0.166402 MB,45.7%
3: Content Extraction,0.0009 Min,0.258267 MB,1.098311 MB,45.7%
3: Generate XML,0.0027 Min,1.564925 MB,2.918399 MB,45.7%
3: Submit FHIR Msg,0.033 Min,0.198076 MB,1.002246 MB,45.7%
3: Update/Add List Bundle,0.0474 Min,0.063244 MB,0.242481 MB,45.7%
3: Completed,0.0 Min,0.149026 MB,0.151371 MB,45.7%
Final Metrics,3.1978 Min,0.0 MB,10.116442 MB,45.9%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0713 Min,5.185909 MB,9.9428 MB,46.0%
Split Json,0.0077 Min,0.262835 MB,9.187721 MB,45.9%
0: Heading Extraction,0.6567 Min,2.059097 MB,4.543591 MB,45.9%
0: Document Annotation,0.0186 Min,0.160432 MB,0.19517 MB,45.9%
0: Content Extraction,0.0011 Min,0.704778 MB,4.069554 MB,45.9%
0: Generate XML,0.0042 Min,2.791504 MB,5.342721 MB,45.9%
0: Submit FHIR Msg,0.051 Min,0.193974 MB,2.117019 MB,45.9%
0: Update/Add List Bundle,0.046 Min,0.074441 MB,0.420375 MB,45.9%
1: Heading Extraction,0.1863 Min,0.407639 MB,3.052651 MB,45.8%
1: Document Annotation,0.0001 Min,0.009801 MB,0.15806 MB,45.8%
1: Content Extraction,0.0005 Min,0.160065 MB,0.62348 MB,45.8%
1: Generate XML,0.0017 Min,0.861315 MB,1.927687 MB,45.8%
1: Submit FHIR Msg,0.0303 Min,0.050736 MB,0.905674 MB,45.8%
1: Update/Add List Bundle,0.0782 Min,0.235273 MB,0.895734 MB,45.8%
2: Heading Extraction,0.2517 Min,0.862795 MB,3.141592 MB,45.8%
